City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
353,twentynine palms,34.1356,-116.0542,35.63,27,18,1.79,US,1722658546
354,bodo,67.28,14.405,16.02,87,40,7.2,NO,1722658547
355,dois vizinhos,-25.7336,-53.0572,14.76,69,0,1.61,BR,1722658549
356,thurso,58.5927,-3.5259,11.59,82,24,2.2,GB,1722658550
357,tual,-5.6667,132.75,25.66,87,41,8.11,ID,1722658551
358,uribia,11.7139,-72.266,28.7,70,0,2.32,CO,1722658553
359,bartlesville,36.7473,-95.9808,25.06,62,0,1.54,US,1722658554
360,hadibu,12.65,54.0333,26.28,78,70,11.94,YE,1722658555
361,marataizes,-21.0433,-40.8244,22.2,79,62,3.57,BR,1722658556
362,livingston,55.9029,-3.5226,10.15,91,0,2.57,GB,1722658558
363,tangalle,6.024,80.7911,31.09,70,100,5.39,LK,1722658559
364,changsha,28.2,112.9667,34.45,55,6,4.49,CN,1722658560
